epoch,mean_loss,training_accuracy,validation_accuracy
1,8.531598,0.092202,0.270000
2,2.295818,0.424441,0.570000
3,1.282121,0.651664,0.660000
4,0.936498,0.738084,0.760000
5,0.732876,0.793405,0.750000
6,0.608949,0.831536,0.810000
7,0.546996,0.845757,0.810000
8,0.472457,0.870448,0.800000
9,0.417031,0.888889,0.860000
10,0.372185,0.895140,0.830000
11,0.337366,0.908267,0.840000
12,0.305639,0.921706,0.840000
13,0.288181,0.925301,0.840000
14,0.260192,0.932958,0.870000
15,0.238131,0.939678,0.840000
16,0.213451,0.947179,0.860000
17,0.209746,0.949836,0.860000
18,0.202671,0.947335,0.840000
19,0.183851,0.956399,0.880000
20,0.165485,0.962494,0.860000
21,0.157267,0.964682,0.890000
