shop_id,area,visitors1,visitors2,felon
1,1578.99,13,14,1
2,1963.00,22,20,1
3,2245.94,19,20,0
4,2967.39,26,20,0
5,2370.61,21,20,0
6,2439.42,28,22,1
7,3737.85,19,24,1
8,1635.88,17,26,0
9,1831.24,16,25,1
10,2403.12,16,22,0
11,2277.76,7,25,0
12,2125.78,23,23,0
13,2626.21,12,27,0
14,2217.31,23,18,0
15,2551.32,16,23,0
16,2623.68,17,25,0
17,1864.38,8,26,0
18,1890.94,19,26,1
19,2784.40,22,22,0
20,1611.39,22,28,0
21,2281.76,20,33,0
22,2059.71,16,26,0
23,3015.14,16,15,0
24,1540.86,20,22,1
25,2526.68,28,19,0
26,2416.00,24,13,0
27,2430.51,22,16,0
28,2314.65,17,18,1
29,3116.72,25,13,1
30,2695.38,24,18,0
31,2528.95,24,18,1
32,2832.80,16,25,0
33,2698.55,20,15,1
34,1955.99,20,17,1
35,2057.84,24,19,0
36,1874.53,10,24,0
37,1038.86,18,24,0
38,1969.07,26,20,0
39,1813.22,26,11,0
40,1997.07,15,15,1
41,2574.25,21,26,0
42,2065.61,25,17,1
43,2397.35,33,26,0
44,2026.60,22,17,1
45,2378.42,18,24,1
46,2482.85,18,18,0
47,2337.95,21,17,1
48,2406.65,16,12,1
49,2720.91,12,14,1
50,1936.65,24,20,1
51,2028.66,21,17,1
52,1859.39,19,22,0
53,1913.43,17,16,1
54,2120.77,20,20,0
55,2353.83,23,15,1
56,2363.67,17,20,0
57,3807.67,19,17,0
58,2483.52,9,34,1
59,2661.36,19,20,0
60,2401.61,23,21,1
61,3139.70,23,21,0
62,2823.28,28,18,1
63,2735.51,17,26,1
64,2708.26,19,21,0
65,3003.02,23,20,0
66,2413.78,12,28,0
67,1603.79,21,18,0
68,2460.03,22,18,0
69,3105.11,16,16,1
70,2995.12,19,32,1
71,2246.34,20,24,0
72,3136.12,17,18,0
73,2023.95,16,16,1
74,2671.63,22,19,1
75,2160.76,26,20,0
76,2539.50,21,16,0
77,2626.85,13,18,0
78,2469.08,24,13,0
79,3008.92,26,29,0
80,2275.82,19,25,1
81,1617.82,29,20,1
82,3114.03,18,31,0
83,3643.87,23,27,1
84,2176.82,21,21,0
85,2661.35,19,11,0
86,2336.29,14,18,0
87,3087.40,28,15,0
88,1576.28,13,23,0
89,2216.64,19,19,1
90,2258.53,17,30,1
91,2406.26,27,16,1
92,2092.91,30,22,1
93,1617.61,20,19,1
94,2004.05,23,17,1
95,1529.67,22,22,1
96,1986.72,24,26,0
97,1971.64,25,19,0
98,2968.80,23,18,0
99,2523.40,21,22,1
100,1858.06,20,25,0
101,2951.95,21,12,0
102,1983.80,22,15,0
103,1147.67,29,18,1
104,2105.82,21,20,0
105,2518.96,20,22,1
106,2289.16,18,22,0
107,2534.28,27,23,0
108,2576.88,27,23,0
109,1972.86,23,19,0
110,2875.81,15,28,0
111,2271.94,18,14,0
112,2340.82,24,17,0
113,1493.07,18,18,0
114,2800.70,16,14,0
115,2952.69,22,20,1
116,3237.44,18,20,0
