shop_id,area,visitors1,visitors2,felon
553,3132.31,16,15,0
554,2360.42,15,19,0
555,3264.75,16,9,0
556,2641.39,21,14,0
557,2784.80,16,11,0
558,3302.45,14,11,1
559,2662.75,17,15,0
560,2763.02,12,14,0
561,2703.35,16,10,0
562,2887.36,17,9,0
563,2944.12,18,18,0
564,2570.29,9,15,0
565,2851.70,19,22,0
566,2680.36,17,20,0
567,2793.88,17,14,0
568,2627.50,11,11,0
569,2469.97,17,18,0
570,3081.38,25,18,0
571,3490.16,17,15,0
572,2611.98,13,20,0
573,2979.43,13,13,0
574,2656.26,15,18,0
575,3202.92,10,13,0
576,2786.75,19,13,0
577,2937.69,18,19,0
578,2492.95,12,16,0
579,2608.80,23,15,0
580,3067.89,8,21,0
581,3453.11,14,13,1
582,3308.62,12,15,1
583,2852.20,15,11,1
584,2299.43,15,27,0
585,2797.27,17,10,0
586,2634.12,18,7,0
587,2830.23,13,11,0
588,3202.08,15,16,0
589,3126.91,16,12,0
590,2782.13,15,10,0
591,2748.31,15,19,0
592,2560.26,10,20,0
593,3002.16,22,20,1
594,2867.36,15,15,0
595,2632.89,10,20,0
596,2507.96,18,23,0
597,2682.14,15,14,0
598,3428.52,16,18,0
599,3242.94,18,16,0
600,3102.99,13,18,0
601,2828.43,10,18,0
602,3290.47,24,11,1
603,3363.75,23,11,0
604,2758.05,15,11,0
605,2283.56,17,20,0
606,2796.95,11,16,0
607,2817.28,15,20,0
608,2844.24,9,13,0
609,3246.71,18,11,1
610,2548.31,7,19,0
611,2824.75,12,8,0
612,2742.01,17,20,0
613,3267.62,15,19,1
614,2730.89,18,17,0
615,2841.28,20,12,0
616,3070.04,8,11,0
617,2994.18,17,19,0
618,2780.82,18,15,0
619,2464.66,16,16,0
620,2687.52,14,14,0
621,2801.47,20,11,0
622,3168.85,17,16,0
623,2744.24,15,8,0
624,3239.09,15,17,0
625,2858.55,19,11,1
626,2837.26,22,17,0
627,3607.91,14,26,0
628,3260.38,15,22,1
629,2517.67,9,13,0
630,2546.71,12,9,1
631,3350.39,15,15,0
632,3042.72,14,23,0
633,2817.37,11,16,0
634,2977.27,14,13,0
635,2951.93,16,12,1
636,2844.98,24,18,0
637,2106.72,14,23,0
638,2703.85,14,12,0
639,3140.45,16,12,0
640,2707.32,19,19,0
641,2785.39,18,22,0
642,2984.91,17,24,0
643,3124.52,19,18,0
644,2342.44,12,15,0
645,2655.19,15,15,0
646,3056.22,10,16,0
647,3126.29,16,17,0
648,3108.27,13,16,0
649,2837.89,15,19,0
650,2920.44,13,27,1
651,2908.76,12,17,1
652,2758.89,21,15,0
653,2468.92,15,19,0
654,3054.74,15,19,0
655,3151.29,19,14,0
656,2775.69,17,13,1
657,3611.18,10,9,0
658,2962.62,18,13,0
659,2927.51,13,17,1
660,2749.07,15,24,0
661,2907.29,19,14,0
662,2677.03,19,21,0
663,2726.65,18,15,0
664,3132.75,19,20,0
665,2514.95,22,16,0
666,3036.36,13,12,0
667,2453.07,11,18,1
668,3343.14,13,12,0
669,3254.01,15,12,0
670,2929.64,21,17,0
671,2801.07,16,13,0
672,2673.85,15,21,1
673,2838.99,13,10,0
674,3075.27,17,9,0
675,2696.69,20,12,0
676,3240.51,20,11,0
677,2775.66,15,16,0
678,2861.75,16,12,0
679,2851.24,15,17,0
680,2990.55,13,13,0
681,3134.32,7,8,0
682,2661.91,15,18,0
683,2852.80,7,19,1
684,2374.17,17,19,0
685,3324.87,17,20,0
686,3091.26,12,13,1
687,3180.19,15,26,0
688,2620.89,20,20,0
689,2844.61,17,17,0
690,3241.50,12,13,0
691,2668.39,15,13,0
692,3475.13,15,9,1
693,3094.41,13,15,0
694,3135.76,23,18,0
695,2995.27,13,15,0
696,2798.01,20,8,0
697,3343.66,15,21,0
698,2595.01,10,11,0
699,3111.55,20,17,0
700,2835.75,13,21,1
701,2952.99,16,18,0
702,2641.46,8,19,0
703,2389.42,14,9,0
704,3725.91,18,15,0
705,2522.02,14,12,0
706,2833.05,9,16,0
707,2946.36,12,21,0
708,2975.75,15,17,1
709,2552.39,17,25,1
710,2638.57,16,15,0
711,3400.44,8,13,0
712,2972.98,27,20,0
713,2958.40,16,17,0
714,2758.85,12,16,0
715,2648.67,10,14,0
716,2480.79,17,21,1
717,3127.05,17,17,1
718,3245.87,25,14,0
719,2735.13,7,22,0
720,3203.64,18,13,0
721,3128.15,18,19,0
722,3467.26,22,8,0
723,2837.03,21,11,0
724,2732.61,15,14,0
725,2694.53,15,18,0
